name,id,folderId
TopKA_welcome_RAW,4674,18252
TopKA_welcome_TLH,4675,18252
TopKA_welcome_TRA,4677,18252
TopKA_welcome_Generic,4678,18252
TopKA_welcome_Touch2_Split,4679,18252
TopKA_welcome_survey,4682,18252
WPP/MPL_1801_All_All_All_ANA_UV_LAB_UV-VISGeneralStream1,4719,18298
GDE_1801_All_All_All_ANA_UV_LAB_UV-VISGeneralStream2,4723,18298
WPP_1801_All_All_All_ANA_UV_LAB_UV-VISGeneralStream3,4725,18298
TBX_1801_All_All_All_ANA_UV_LAB_UV-VISLifeScienceStream1,4726,18298
LIB_1801_All_All_All_ANA_UV_LAB_UV-VISLifeScienceStream2,4727,18298
WEB_1801_All_All_All_ANA_UV_LAB_UV-VISLifeScienceStream3,4728,18298
EMT_EMK_1801_All_CHE_All_All_All_All_Welcome1,4764,7726
EMT_EMK_1801_All_CHE_IND/PRO/PI_All_All_All_Welcome2,4765,7726
EMT_EMK_1801_All_CHE_LAB_All_All_All_Welcome2,4766,7726
EMT_EMK_1801_All_FAB_All_All_All_All_Nurturing1,4767,8697
EMT_EMK_1801_All_FAB_IND/PRO/PI_All_All_All_Nurturing2,4768,8697
EMT_EMK_1801_All_FAB_LAB_All_All_All_Nurturing2,4769,8697
EMT_EMK_1801_All_CHE_IND/PRO/PI_All_All_All_Nurturing2,4781,8688
EMT_EMK_1801_All_CHE_IND/PRO/PI_All_All_All_Nurturing1,4782,8688
EMT_EMK_1801_All_CHE_LAB_All_All_All_Nurturing2,4783,8688
EMT_EMK_1801_All_CHE_LAB_All_All_All_Nurturing1,4789,8688
ENQ_XXXX_All_All_All_All_All_All_Pre-Dormant,4814,18437
ENQ_XXXX_All_All_All_All_All_All_Dormant_Email1,4815,18434
ENQ_XXXX_All_All_All_All_All_All_Dormant_Email2,4816,18434
MPL_1802_US_AAE_All_All_All_LAB_Nurturing,4840,8575
MPL_1802_CA(EN)_AAE_All_All_All_LAB_Nurturing,4841,8575
MPL_1802_ROW_AAE_All_All_All_LAB_Nurturing,4842,8575
MPL_1802_APe_AAE_All_All_All_LAB_Nurturing,4843,8575
MPL_1802_APw_AAE_All_All_All_LAB_Nurturing,4844,8575
MPL_1802_AU/NZ_AAE_All_All_All_LAB_Nurturing,4845,8575
MPL_1802_CA(FR)_AAE_All_All_All_LAB_Nurturing,4847,8575
MPL_1802_FR_AAE_All_All_All_LAB_Nurturing,4848,8575
MPL_1802_DE_AAE_All_All_All_LAB_Nurturing,4849,8575
MPL_1802_ES_AAE_All_All_All_LAB_Nurturing,4850,8575
MPL_1802_SA_AAE_All_All_All_LAB_Nurturing,4851,8575
MPL_1802_IT_AAE_All_All_All_LAB_Nurturing,4852,8575
MPL_1802_PT_AAE_All_All_All_LAB_Nurturing,4853,8575
MPL_1802_BR_AAE_All_All_All_LAB_Nurturing,4854,8575
MPL_1802_PL_AAE_All_All_All_LAB_Nurturing,4855,8575
MPL_1802_NL_AAE_All_All_All_LAB_Nurturing,4856,8575
