name,id,folderId,status
WPP_1803_ES_PPT_All_PRO_All_PRO_PulpPapwerWT2,35202,18661,2
WPP_1803_IT_PPT_All_PRO_All_PRO_PulpPapwerWT2,35216,18661,2
WPP_1803_PL_PPT_All_PRO_All_PRO_PulpPapwerWT2,35218,18661,2
WPP_1803_PT_PPT_All_PRO_All_PRO_PulpPapwerWT2,35219,18661,2
WPP_1803_CN_PPT_All_PRO_All_PRO_PulpPapwerWT2,35220,18661,2
WPP_1803_JP_PPT_All_PRO_All_PRO_PulpPapwerWT2,35221,18661,2
WPP_1803_KR_PPT_All_PRO_All_PRO_PulpPapwerWT2,35222,18661,2
MPL_1801_DE_AAE_All_All_All_LAB_Nurturing1,35223,18264,1
MPL_1801_ES_AAE_All_All_All_LAB_Nurturing1,35224,18264,1
MPL_1801_FR_AAE_All_All_All_LAB_Nurturing1,35225,18264,1
MPL_1801_CA(FR)_AAE_All_All_All_LAB_Nurturing1,35226,18264,1
MPL_1801_IT_AAE_All_All_All_LAB_Nurturing1,35227,18264,1
MPL_1801_JP_AAE_All_All_All_LAB_Nurturing1,35228,18264,1
MPL_1801_KR_AAE_All_All_All_LAB_Nurturing1,35229,18264,1
MPL_1801_PT_AAE_All_All_All_LAB_Nurturing1,35230,18264,1
MPL_1801_CN_AAE_All_All_All_LAB_Nurturing1,35231,18264,1
LIB_1802_DE_AAE_All_All_All_LAB_Nurturing2,35232,18485,1
LIB_1802_ES_AAE_All_All_All_LAB_Nurturing2,35233,18485,1
LIB_1802_FR_AAE_All_All_All_LAB_Nurturing2,35234,18485,1
LIB_1802_CA(FR)_AAE_All_All_All_LAB_Nurturing2,35235,18485,1
LIB_1802_IT_AAE_All_All_All_LAB_Nurturing2,35236,18485,1
LIB_1804_AU/NZ_MPE_All_IND_All_IND_App1,35917,6453,1
LIB_1804_CA(FR)_MPE_All_IND_All_IND_App1,35918,6453,1
LIB_1804_FR_MPE_All_IND_All_IND_App1,35919,6453,1
LIB_1804_DE_MPE_All_IND_All_IND_App1,35920,6453,1
LIB_1804_ES_MPE_All_IND_All_IND_App1,35921,6453,1
LIB_1804_NL_MPE_All_IND_All_IND_App1,35922,6453,1
LIB_1804_PT_MPE_All_IND_All_IND_App1,35924,6453,1
LIB_1804_JP_MPE_All_IND_All_IND_App1,35925,6453,1
LIB_1804_KR_MPE_All_IND_All_IND_App1,35926,6453,1
LIB_1804_TR_MPE_All_IND_All_IND_App1,35927,6453,1
LIB_1804_CN_MPE_All_IND_All_IND_App1,35928,6453,1
CLT_XXXX_AP_EME_All_IND_All_IND_IND_App1,35929,6451,1
CLT_XXXX_DE_EME_All_IND_All_IND_IND_App1,35930,6451,1
CLT_XXXX_CA(FR)_EME_All_IND_All_IND_IND_App1,35931,6451,1
CLT_XXXX_DK_EME_All_IND_All_IND_IND_App1,35932,6451,1
CLT_XXXX_ES_EME_All_IND_All_IND_IND_App1,35933,6451,1
CLT_XXXX_IT_EME_All_IND_All_IND_IND_App1,35934,6451,1
CLT_XXXX_KR_EME_All_IND_All_IND_IND_App1,35935,6451,1
CLT_XXXX_NL_EME_All_IND_All_IND_IND_App1,35936,6451,1
CLT_XXXX_PL_EME_All_IND_All_IND_IND_App1,35937,6451,1
CLT_XXXX_PT_EME_All_IND_All_IND_IND_App1,35938,6451,1
CLT_XXXX_RU_EME_All_IND_All_IND_IND_App1,35939,6451,1
CLT_XXXX_TW_EME_All_IND_All_IND_IND_App1,35941,6451,1
CLT_XXXX_VN_EME_All_IND_All_IND_IND_App1,35943,6451,1
CLT_XXXX_CA(EN)_EME_All_IND_All_IND_IND_App1,35944,6451,1
CLT_XXXX_ROW_EME_All_IND_All_IND_IND_App1,35946,6451,1
CLT_XXXX_IN_EME_All_IND_All_IND_IND_App1,35947,6451,1
CLT_XXXX_AU/NZ_EME_All_IND_All_IND_IND_App1,35948,6451,1
CLT_XXXX_TH_EME_All_IND_All_IND_IND_App1,35949,6451,1
CLT_XXXX_US_EME_All_IND_All_IND_IND_App1,35950,6451,1
